Idiom (Tooro),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Tooro)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ataroho taterwa omuti,"Fixed negative relative clause plus passive verb phrase; subject prefix a-, negative ta-, locative implication of absence, passive -erwa.","A person who is absent avoids a direct danger, but may also miss what happens when people are present.","Omuntu ataliyo tayingira omu kabi, kandi tasobora kubona omugisa oguliho.",B1,"Daily advice, meetings, family discipline, risk-taking, missed opportunities.","Colloquial wisdom; cautionary, gently ironic.","Linked to homestead and forest imagery in Tooro oral teaching: a falling tree harms only those present, yet absence can also mean missing communal chances.",/a.ta.ɾo.ho ta.te.ɾwa o.mu.ti/,"Araali obu ataiijire omu rusorrokano akahuka omugisa, abantu bagamba bati, Ataroho taterwa omuti.","N'obwoba otiina, otasigara inyuma buli kiro; Ataroho taterwa omuti, baitu ataboona n'omugisa.","Abakozi abatarabireyo ha mulimo tibafubirwe n'enjura, habwokuba Ataroho taterwa omuti."
Nyantagambirwa akaheeka orunaku,Nominalized character-name idiom followed by a perfective/past verbal clause; compact narrative proverb with object noun.,Someone who refuses good advice eventually suffers the painful result of stubbornness.,Omuntu atahurra obuhabuzi bw'abakuru aheza akagwa omu bizibu.,B2,"Moral teaching, youth guidance, caution after mistakes, family and school settings.","Didactic, humorous, mildly reproachful.","Draws on a Tooro tale about an obstinate person who ignored warnings and ended up carrying a centipede, a painful symbol of consequences.",/ɲa.nta.ɡa.mbi.ɾwa a.ka.heː.ka o.ɾu.na.ku/,"Tukakuhana kare, baitu okanga kuhurra; hati Nyantagambirwa akaheeka orunaku.","Omwana obu yayangire ebigambo bya nyina, baamwijukya bati, Nyantagambirwa akaheeka orunaku.","Omutendeki akagambira abaisiki ati, mutaleka obuhabuzi, Nyantagambirwa akaheeka orunaku."
Alinda kakyahweyo acumita omukira,Fixed subject-verb clause with temporal complement and transitive verb; elliptical proverb contrasting delay with leftovers.,"One who waits too long receives only the last, least valuable portion of an opportunity.",Omuntu alinda muno ahika ha bintu ebisigaireho byonka.,B2,"Work deadlines, markets, farming seasons, education, opportunity-taking.","Colloquial; warning, practical, sometimes teasing.",Rooted in food-sharing and animal-tail imagery: latecomers to communal distribution may receive the undesirable tail.,/a.li.nda ka.cja.hwe.jo a.t͡ʃu.mi.ta o.mu.ki.ɾa/,"Abandi bakatandika kurima kare, Kule obu yaizire hanyuma abantu bagamba bati, Alinda kakyahweyo acumita omukira.",Otaliinda akatale kuhwa; Alinda kakyahweyo acumita omukira.,"Orujumbura rutakahwa baingi bakatwara ebirungi, kandi alinda kakyahweyo acumita omukira."
Mboha-nyenka akamara ebigogo omurugonjo,Compound nickname plus perfective verbal clause; noun-class agreement with plural object and locative phrase.,A person who insists on working alone becomes exhausted and wastes effort that should be shared.,Omuntu akora wenka buli kintu atera kunanirwa; abantu basemeriire kukwatana.,B2,"Teamwork, farming, household labor, workplace planning, community mobilization.","Colloquial and communal; corrective, encouraging.","Comes from banana-grove labor: tying or stripping many banana fibers alone is slow, tiring work in Tooro agrarian life.",/ᵐbo.ha ɲeː.nka a.ka.ma.ɾa e.bi.ɡo.ɡo o.mu.ɾu.ɡo.nɟo/,"Omukuru w'omulimo akagamba ati, Mboha-nyenka akamara ebigogo omurugonjo; mukwatane.","Kakuba okora wenka buli kiro, Mboha-nyenka akamara ebigogo omurugonjo.","Abakazi n'abasaija bakakora hamwe ha mbaga, habwokuba Mboha-nyenka akamara ebigogo omurugonjo."
Akabwa kaboigora tikaruma,Noun phrase subject with descriptive relative verb followed by negative habitual verb; animal-metaphor clause.,People who make loud threats often do not carry them out.,Omuntu arayogerra muno n'ekiniga tasemeriire kukutiinisa atakakozire kintu.,B1,"Conflict, teasing, social criticism, schoolyard speech, political commentary.","Colloquial, humorous, dismissive.","Uses familiar village-dog behavior: a small dog may bark fiercely, while real danger is judged by action rather than noise.",/a.ka.bwa ka.bo.i.ɡo.ɾa ti.ka.ɾu.ma/,"Omutabani akagamba ebigambo by'amaani, baitu abantu bakamumanya bati, Akabwa kaboigora tikaruma.",Otaatiina buli muntu arukuhakaniza n'eraka; Akabwa kaboigora tikaruma.,"Omu rukiiko bakaseka omusaija owatiinisize buli muntu, bati Akabwa kaboigora tikaruma."
Akalimi kabi karoga,"Noun phrase with diminutive body-part noun plus adjective, followed by active habitual verb; metaphorical causation.",A bad tongue causes harm; careless or malicious speech can damage people and relationships.,Ebigambo bibi bisobora kuhutaaza abantu n'okusiisa obunywani.,B2,"Family mediation, public speaking, gossip, counseling, conflict prevention.","Serious, admonishing, moral.","Reflects Tooro concern for respectful speech, where words are treated as socially powerful enough to bless, shame, or wound.",/a.ka.li.mi ka.bi ka.ɾo.ɡa/,Akalimi kabi karoga; otagamba ebigambo ebihutaaza omutima gw'omuntu.,"Obu yagaambire kubi omu maka, nyina akamuhana ati, Akalimi kabi karoga.","Omutekani w'orukiiko akatwijuukya ati, Akalimi kabi karoga kandi engambo nungi ezimbisa."
Amazima gasarra,Plural abstract noun subject with intransitive verb; compact metaphor comparing truth to a cutting instrument.,"Truth can be painful, direct, or uncomfortable, but it reveals reality clearly.","Amazima gasobora kusaasa, baitu gasoborra abantu ekiriho.",C1,"Mediation, leadership, accountability, testimony, difficult family conversations.","Formal-colloquial crossover; blunt, sober.","Part of moral discourse in Tooro homes and councils, where truth-telling is valued even when it embarrasses or hurts.",/a.ma.zi.ma ɡa.sa.rːa/,"Amazima gasarra, baitu nigo gatukonyera kukora kurungi.","Omukuru w'eka akamugambira amazima; Amazima gasarra, baitu tigaita.","Obu twahikire ha kubara sente, Amazima gasarra kandi buli muntu akaculeera."
Engaro ibiri kunaabisa ngana,Plural noun subject with numeral modifier and infinitive verb phrase; cooperative-action proverb.,Two hands accomplish care better than one; cooperation makes hard work easier.,Abantu babiri rundi baingi basobora kukora kurungi kukira omuntu omwe wenka.,B1,"Teamwork, childcare, farming, community service, household duties.","Warm, communal, encouraging.","Grounded in child-care imagery: washing a child well requires both hands, mirroring Tooro values of shared responsibility.",/e.ŋɡa.ɾo i.bi.ɾi ku.naː.bi.sa ŋɡa.na/,Engaro ibiri kunaabisa ngana; tugabane omulimo gw'okurungiisa enju.,"Abaisiki n'aboojo bakakorra hamwe, habwokuba Engaro ibiri kunaabisa ngana.",Omutwe gumu tigumara buli kintu; Engaro ibiri kunaabisa ngana.
"Omugisa mbeho, n'obu okinga gutaaha",Metaphorical equative clause plus concessive subordinate clause; subject-verb agreement on gutaaha.,"Good fortune can arrive unexpectedly, even when someone is not actively inviting it.",Omugisa gusobora kuhika ha muntu atakugurindira rundi atakuguserra.,C1,"Hope, surprise success, gratitude, spiritual reflection, family encouragement.","Poetic, reflective, optimistic.","Uses wind as an image of invisible movement through doors and homes, fitting Tooro speech about blessing, chance, and providence.",/o.mu.ɡi.sa ᵐbe.ho nɔ.bu o.ki.ŋɡa ɡu.taː.ha/,"Omugisa mbeho, n'obu okinga gutaaha; Kansiime akatunga omulimo atarukulinda.","Tuleke kwiha amaani; Omugisa mbeho, n'obu okinga gutaaha.","Obu omugisa gwaizire omu ka, nyina akasema ati, Omugisa mbeho, n'obu okinga gutaaha."
Buli kasozi n'engo yako,Quantified noun phrase with possessive construction; elliptical locative proverb with animal symbol.,"Every place, group, or situation has its own hidden danger, powerful person, or difficult custom.","Buli mwanya gugira ebizibu byagwo, abantu baagwo, n'emigisa yaagwo.",B2,"Travel, politics, workplace entry, clan relations, advice to newcomers.","Cautionary, wise, regionally grounded.","Evokes the hilly landscape of Tooro and the leopard as a symbol of local power, danger, and respect for unfamiliar territory.",/bu.li ka.so.zi nɛ.ŋɡo ja.ko/,"Obu twahikire omu rubuga orusya, tata akatuhabura ati, Buli kasozi n'engo yako.",Otasereka amaiso ha by'omwanya omusya; Buli kasozi n'engo yako.,"Abato ba Fort Portal bakamanya ngu Buli kasozi n'engo yako, kandi buli kicweka kigira empisa zaako."
