Idiom (Tuvan),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Tuvan)",First Example Sentence,Second Example Sentence,Third Example Sentence
Чугааланның чок хереги – хойга хөй бол.,Complex clause with imperative structure,Don’t delay or be lazy in learning; start now.,Learn and act immediately.,B1,"Education, motivation, daily speech","Colloquial, motivational",Rooted in nomadic Tuvan educational philosophy emphasizing diligence.,[ʧuɣaˈlan.nɯŋ ʧok xeˈre.ɡi xoːj.ɡa xoːj bol],Бүгү чугааланның чок хереги – хойга хөй бол.,Эжик маңа айтыр: ‘Чугааланның чок хереги – хойга хөй бол’.,Дуганар база бу идиоманы сөглеңнэр.
Ажыгның көзүне чок салып болбас.,Fixed negative clause,You cannot deceive someone wise or observant.,You cannot fool a perceptive person.,B2,"Family, teaching, wisdom","Proverbial, formal",Traditional Tuvan saying emphasizing wisdom and vigilance.,[aˈʒɯɣ.nɯŋ ˈkø.zyn.e ʧok saˈlɯp bolˈbas],Мен ажыгның көзүне чок салып болбас деп бодуп турар мен.,Эжик маңа бу сөзбен сөгбен.,Чаа дугайлар ажыгның көзүне чок салып болбас деп күлүп турарлар.
От очунда кижини билер.,Conditional clause,A person’s true nature is revealed in hardship.,You know someone by how they behave in difficult times.,C1,"Proverbs, wisdom, adversity","Formal, moral",Old Tuvan proverb comparing trial by fire with moral testing.,[ot oˈʧun.da kiˈʒi.ni biˈler],Кижи от очунда кижини билер деп чугаалан.,"Біз хүндү кезинде кижини билербесек, кийин кеч.",От очунда кижини билер — эрттемден келген чын сөз.
"Суг база херек, сөз база херек.",Parallel compound clause,Both actions and words are equally important.,Actions matter as much as words.,B1,"Ethics, philosophy, teaching","Formal, balanced",From moral teachings reflecting Tuvan balance and duality.,[suɣ ˈba.za xeˈrek søz ˈba.za xeˈrek],"Суг база херек, сөз база херек — дугайым айтыр.","Кижи чок сөзүнде, суг база херек, сөз база херек.","Бу номда база чугаалан: суг база херек, сөз база херек."
Айлыг болур черде ач болбас.,Relative clause with existential verb,"Where there is light, there is no darkness (hope always exists).",Hope is present where positivity exists.,B2,"Literary, spiritual, optimism","Poetic, philosophical",Derived from Tuvan shamanic cosmology about light and renewal.,[aj.lɯɣ boˈlur ʧer.de at͡ʃ bolˈbas],Айлыг болур черде ач болбас — деп апам айтыр.,Бу сөз менге үжүңгүн.,"Чаа черге чоруп барганда, айлыг болур черде ач болбас деп бодуп бардым."
Чон черде чок чага турар.,Declarative with locative phrase,"Even in great lands, poverty exists — wisdom on equality.",No place is free from suffering.,C1,"Society, politics, economy","Philosophical, reflective",Ancient observation on social balance and imperfection.,[ʧon ʧer.de ʧok ʧa.ɡa tuˈrar],Чон черде чок чага турар — бодал улуг.,Ол чага тургус чок деп айтыр.,Кижилер чон черде чок чага турар деп үннээр.
Сагыш арын аржылбас.,Negative reflexive structure,Pain of longing cannot be forgotten.,One cannot easily forget their longing.,C2,"Love, memory, nostalgia","Poetic, emotional",Used in love songs and epics about emotional endurance.,[sa.ɣɯʃ a.rɯn ar.ʒɯlˈbas],"Сагыш арын аржылбас, дугайым.",Бу номда сагыш арын аржылбас деп айтынып турар.,Ол сөз маңа үжүңгүн болган.
"Чок айып, чок санаа — улуг байлық.",Parallel nominal structure,A clear mind and heart are the greatest wealth.,Inner peace is the truest richness.,B2,"Mindfulness, wisdom, spirituality","Philosophical, calm",Reflects Tuvan Buddhist ideals of detachment and peace.,[ʧok a.jɯp ʧok sa.na u.luɣ baj.lɯk],"Чок айып, чок санаа — улуг байлық деп айтыр.",Біз дугайлар бу сөзни бодуп турарбыз.,Чаа номда база бу идиома болган.
"Өргүлел болза, чага да күлүр.",Conditional clause with emphatic particle,"If there’s happiness, even a child will smile.",Joy spreads to everyone.,A2,"Family, happiness, humor","Colloquial, cheerful",From family speech and traditional songs of joy.,[ør.ɡy.lɛl bol.za ʧa.ɡa da ky.lyr],"Өргүлел болза, чага да күлүр деп апам айтыр.",Хоон күндө чага да күлүр.,"Біздің черде өргүлел болза, чага да күлүр."
"Кижи сөзүнде, от очунда билер.",Compound clause with instrumental metaphor,True character shows in words and trials.,Judge a person by speech and actions.,C1,"Leadership, moral, wisdom","Formal, instructive",Historical saying used by elders in Tuvan oral debates.,[ki.ʒi sø.zynde ot o.ʧun.da bi.ler],"Кижи сөзүнде, от очунда билер — деп чугаалан.",Ол менге бу идиоманы үжүңгүн бодал деп аңлаткан.,"Кижилер айтыр: ‘Кижи сөзүнде, от очунда билер’."
