Idiom (Uzbek),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Uzbek)",First Example Sentence,Second Example Sentence,Third Example Sentence
Oshning ustiga choy,Nominal phrase with genitive + postpositional structure,"An extra, often unnecessary addition to something already sufficient",Yetarli narsaga qo‘shimcha qilingan ortiqcha narsa,B1,"Daily speech, humor","Colloquial, ironic","Derived from Uzbek food culture where tea follows pilaf, sometimes humorously unnecessary",[oʃniŋ ustɨɣa t͡ʃoj],Uning tanqidiga javob berish oshning ustiga choy bo‘ldi.,"Yordam ham yetarli edi, uning qo‘shilishi oshning ustiga choy bo‘ldi.",Kechki ziyofatning sovg‘alari oshning ustiga choydek bo‘ldi.
It hurar — karvon o‘tar,Compound clause with parallelism,Progress continues despite criticism or obstacles,"Tanqid bo‘lsa ham, ish davom etadi",B2,"Politics, workplace, resilience","Proverbial, formal, literary",Ancient Silk Road imagery with caravans moving despite dogs barking,[it hʊrar karvɔn ʉtar],"Tanqidchilar gapirdi, ammo it hurar — karvon o‘tar.","Ular bizni to‘xtata olmaydi, it hurar — karvon o‘tar.","Qiyinchiliklarga qaramay, it hurar — karvon o‘tar."
Boshi osmonda yurmoq,Verb phrase with locative nominal phrase,"To be overjoyed, extremely happy",Juda xursand bo‘lmoq,A2,"Family, love, friendship","Colloquial, poetic",Metaphoric expression from classical Uzbek poetry,[bɔʃɨ osmɔnda jʉrmɔq],"U mukofotni olgach, boshi osmonda yurdi.",Uchrashuvdan keyin boshi osmonda yurardi.,Yangi ish topshirig‘i uchun boshi osmonda yurgan edi.
"Yel bo‘lmasa, daraxt qimirlamaydi",Conditional clause,Rumors usually have some basis in truth,"Gap bo‘lsa, uning sababi bor",B2,"Gossip, social commentary","Proverbial, neutral","Based on natural phenomena, folk wisdom",[jel bɤlmasa dæræxt qimirlamajdi],"U haqida mish-mish tarqaldi, yel bo‘lmasa, daraxt qimirlamaydi.","Gaplar bekorga chiqmaydi, yel bo‘lmasa, daraxt qimirlamaydi.","Xabarlarga ishonish kerak, chunki yel bo‘lmasa, daraxt qimirlamaydi."
Ko‘ngli tog‘dek,Nominal simile with equative suffix,"Kind-hearted, generous",Saxovatli odam,A2,"Compliments, family, friendship","Colloquial, poetic",Mountain as a symbol of greatness in Turkic culture,[køŋli tɤɣdæk],Uning ko‘ngli tog‘dek keng.,Do‘stlari uni ko‘ngli tog‘dek odam deb bilishadi.,Yordam berganda ko‘ngli tog‘dek ekanini ko‘rsatdi.
Tili uzun,Adjective phrase,"Outspoken, sometimes rude",Haddan ortiq gapiradigan odam,B1,"Workplace, gossip, humor","Colloquial, humorous, sometimes derogatory",Common metaphor in Uzbek society,[tili uzʉn],U bola juda tili uzun ekan.,Qizning tili uzunligi hammani kuldirdi.,Tili uzun odam bilan tortishish qiyin.
Qovun tushirmoq,Verb phrase,To embarrass oneself,Uyatli vaziyatga tushmoq,B1,"Daily speech, humor, sarcasm","Colloquial, ironic","Linked to Uzbek fruit culture, metaphor for shame",[qɔvʉn tʉʃirmɔq],U yig‘ilishda qovun tushirib qo‘ydi.,Imtihonda noto‘g‘ri javob berib qovun tushirdi.,Uchrashuvda gapni aralashtirib qovun tushirdi.
"Chumchuq so‘ysa ham, qozi so‘ysin",Conditional clause with imperative,Every matter should be done by its expert,Har ishni o‘z mutaxassisi qilishi kerak,C1,"Workplace, education, literature","Proverbial, didactic",Traditional proverb highlighting respect for expertise,[t͡ʃumt͡ʃuq søjsa hɑm qɔzi søjsɨn],"Ishni havaskor emas, ustasi qilsin — chumchuq so‘ysa ham, qozi so‘ysin.","Bu masala mutaxassisga topshirilsin, chumchuq so‘ysa ham, qozi so‘ysin.","Qadimda ham aytishgan: chumchuq so‘ysa ham, qozi so‘ysin."
Otning qashqasi bor,Nominal phrase,Everyone has flaws,Har kimning kamchiligi bor,B2,"Family, advice, humor","Proverbial, colloquial",Traditional metaphor comparing people with horses,[ɔtniŋ qɑʃqɑsɨ bɔr],"Unga ham achchiq gap aytma, otning qashqasi bor.","Hamma mukammal emas, otning qashqasi bor.","Kamchilikni tan olish kerak, otning qashqasi bor."
Elga yuzsiz bo‘lma,Imperative clause,Do not disgrace yourself in public,O‘zingni xalq oldida sharmanda qilma,B2,"Family, advice, moral teaching","Didactic, formal, proverbial",Uzbek ethical code stressing honor,[elgæ jʉzsɨz bɤlmɑ],"Ota-onang seni tarbiyalagan, elga yuzsiz bo‘lma.","Har kim bilsin, elga yuzsiz bo‘lma.","Odobli bo‘l, elga yuzsiz bo‘lma."
