Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
estar como guayabita de Totuma,Verbo copulativo + comparación con sustantivo diminutivo,"Estar en muy malas condiciones físicas o emocionales, muy decaído.",Estar muy mal o sentirse muy mal.,C1,"humor, salud, familia, conversación informal","coloquial, humorístico","Referencia al guayabo, árbol común en Venezuela, y la Totuma, recipiente rústico, simbolizando precariedad.",[esˈtaɾ ˈkomo ɣwaʝaˈβita ðe toˈtuma],"Después de esa rumba, estoy como guayabita de Totuma.",María llegó al trabajo como guayabita de Totuma después del maratón.,"Con esa noticia quedó como guayabita de Totuma, pobrecita."
más perdido que turco en la neblina,Comparación + adjetivo superlativo,Estar completamente desorientado o confundido.,Estar muy confundido o no saber qué hacer.,B2,"humor, educación, oficina, tecnología","coloquial, irónico",Expresión de humor popular venezolano que refleja una percepción exagerada del desarraigo cultural.,[mas peɾˈdiðo ke ˈtuɾko en la neˈβlina],Yo en esa clase estaba más perdido que turco en la neblina.,Juan quedó más perdido que turco en la neblina con el examen.,Instalando ese programa me sentí más perdido que turco en la neblina.
tener más rollo que una película de vaqueros,Verbo + comparación hiperbólica,"Tener demasiadas complicaciones, excusas o problemas.",Ser muy complicado o dar muchas vueltas para decir algo.,C1,"humor, trabajo, relaciones","coloquial, sarcástico","Hace referencia a los viejos rollos de película del cine western, conocido por su duración.",[teˈneɾ mas ˈroʝo ke ˈuna peˈlika ðe βaˈkeɾos],Ese tipo tiene más rollo que una película de vaqueros.,Tu explicación tiene más rollo que una película de vaqueros.,Mi jefe tiene más rollo que una película de vaqueros para dar una orden.
quedar como la guayabera,Verbo + comparación con sustantivo,Quedar fuera de lugar o excluido de una situación.,Ser ignorado o no tener participación.,B2,"política, reuniones, vida social",coloquial,"La guayabera es una camisa típica que suele no usarse en ciertos eventos, simboliza exclusión.",[keˈðaɾ ˈkomo la ɣwaʝaˈβeɾa],Me invitaron pero quedé como la guayabera en toda la conversación.,Luis quedó como la guayabera cuando repartieron los ascensos.,No quiero quedar como la guayabera otra vez en la reunión.
irse por los palos,Verbo pronominal + preposición + sustantivo plural,Salir muy mal o fracasar completamente.,Fracasar o equivocarse totalmente.,B1,"estudios, negocios, deportes",coloquial,"Viene del béisbol, donde un batazo que va por los palos puede ser malo.",[ˈiɾse poɾ los ˈpalos],El plan de inversión se fue por los palos.,El examen me salió tan mal que me fui por los palos.,Con esa estrategia se fueron por los palos.
tener los cables pelaos,Verbo + sustantivo plural + adjetivo coloquial,"Estar alterado mental o emocionalmente, desquiciado.",Estar muy estresado o fuera de control.,C1,"salud mental, familia, trabajo","coloquial, humorístico",Comparación con el cortocircuito eléctrico por cables sin protección.,[teˈneɾ los ˈkaβles peˈlaos],Con tanto estrés tengo los cables pelaos.,Mi jefe tiene los cables pelaos esta semana.,"Después de cuidar a los niños, terminé con los cables pelaos."
ser un tierrúo,Verbo ser + sustantivo peyorativo,"Ser vulgar, inculto o tener mal gusto.",Tener poca clase o ser muy ordinario.,B2,"moda, sociedad, humor","coloquial, despectivo","El término 'tierrúo' alude a alguien del campo con poco refinamiento, usado peyorativamente.",[seɾ un tjeˈru.o],¡No uses eso! Vas a parecer un tierrúo.,Ese look está demasiado tierrúo.,Ella dice que los zapatos blancos son de tierrúo.
más ladilla que una mosca en verano,Comparación + adjetivo coloquial,Ser extremadamente fastidioso o insistente.,Ser muy molesto.,B1,"vida cotidiana, familia, amistades","coloquial, humorístico",Comparación con las moscas comunes en climas tropicales que son persistentes.,[mas laˈðiʝa ke ˈuna ˈmoska en βeˈɾano],Ese niño está más ladilla que una mosca en verano.,"Tu primo es más ladilla que una mosca en verano, de pana.",Mi hermana es más ladilla que una mosca en verano cuando le da por fastidiar.
comerse un cable,Verbo pronominal reflexivo + objeto directo singular,"Pasar por una situación económica difícil, estar sin dinero.",Estar pasando hambre o sin recursos.,B2,"vida cotidiana, economía, humor","coloquial, irónico","Se refiere a una situación tan mala que ni siquiera hay comida, solo cables.",[koˈmeɾse un ˈkaβle],Este mes estoy comiéndome un cable con tantos gastos.,En la uni me la pasaba comiéndome un cable.,Con ese sueldo uno se come un cable diario.
echar los perros,Verbo + objeto directo plural,Cortejar o coquetear con insistencia.,Intentar enamorar o seducir a alguien.,A2,"romance, juventud, humor",coloquial,"Expresión urbana para insinuarse amorosamente, usada desde mediados del siglo XX.",[eˈtʃaɾ los ˈpeɾos],Carlos le está echando los perros a Mariana.,¿Tú me estás echando los perros o qué?,Él se la pasa echándole los perros a todo el mundo.
