Idiom (Wapishana),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Wapishana)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kapon toin wai kairam,Fixed clause; active voice,When a person rushes ahead without thinking; 'to act without foresight.',He acted before thinking.,B1,"Daily speech, humor","Colloquial, ironic",Derived from Wapishana hunting tales about rash decisions.,kaˈpɔn toiŋ wai kaiˈɾam,"Kapon toin wai kairam, irian wai maru.","Irian wai kapon toin wai kairam, tainma maru.",Tainma wai kapon toin wai kairam.
Taimai wai irian taishan,Complex clause; subjunctive mood,To work hard without seeing results yet; 'to labor in hope.',She keeps working even without success.,B2,"Workplace, perseverance","Formal, poetic",Linked to agricultural labor — patience during harvest.,taiˈmai wai iɾiˈan taiˈʃan,"Taimai wai irian taishan, paiwe wai yano.","Tainma taishan wai irian, maru wai shiro.",Irian wai taishan maru wai tainma.
Waira wai maru shiwari,Declarative clause; emphatic construction,To say something obvious or unnecessary; 'to restate the known.',He said what everyone already knew.,C1,"Conversation, sarcasm","Colloquial, humorous",Common in Lethem markets when repeating known news.,waiɾa wai maˈɾu ʃiˈwaɾi,"Waira wai maru shiwari, tainma wai irian.","Waira shiwari wai maru, paiwe wai irian.",Waira maru wai shiwari paiwe wai.
Anapok wai tainma shiro,Fixed clause; contrastive conjunction,To regret words spoken in anger; 'to swallow one’s pride.',She regretted her words later.,B2,"Family, reflection","Reflective, emotional",Rooted in family ethics and community reconciliation.,aˈnapok wai taiˈnma ʃiˈɾo,"Anapok wai tainma shiro, waira wai paiwe.","Anapok shiro wai tainma, maru wai toin.",Anapok shiro wai tainma irian wai.
Paiwe wai makunai yano,Verbal phrase; reflexive structure,To pretend to be busy but achieve nothing; 'to go in circles.',He looked busy but did nothing.,C1,"Workplace, politics","Sarcastic, workplace",Used in communal meetings mocking lazy workers.,paiˈwe wai makuˈnai jaˈno,"Paiwe wai makunai yano, irian wai maru.","Paiwe yano wai makunai, waira wai shiro.",Paiwe makunai wai yano maru wai.
Maru wai irian nankura,Compound clause; past tense,To miss an opportunity through hesitation; 'to be too late.',She was too slow to decide.,B1,"Daily life, regret","Neutral, instructive",Old expression from border trade along Rupununi.,maˈɾu wai iɾiˈan nanˈkuɾa,"Maru wai irian nankura, anapok wai paiwe.","Maru irian wai nankura, paiwe wai toin.",Maru nankura wai irian toin wai.
Tainma wai irian shiro,Relative clause; present tense,To be deceived by appearances; 'to be naive or trusting.',He believed something false.,B2,"Family, advice","Cautionary, informal",Refers to advice from elders to younger people.,taiˈnma wai iɾiˈan ʃiˈɾo,"Tainma wai irian shiro, maru wai anapok.","Tainma shiro wai irian, anapok wai maru.",Tainma irian wai shiro maru wai.
Waimak wai shiro maru,Adjectival clause; metaphorical expression,To express strong agreement; 'to echo someone’s thought.',They strongly agreed.,B1,"Public speech, agreement","Formal, rhetorical",Adopted from traditional council meetings.,waiˈmak wai ʃiˈɾo maˈɾu,"Waimak wai shiro maru, waira wai toin.","Waimak maru wai shiro, irian wai tainma.",Waimak shiro wai maru anapok wai.
Waira wai toin makunai,Verb phrase; imperative tone,To insist despite opposition; 'to stand firm.',She kept insisting on her opinion.,C1,"Politics, leadership","Assertive, firm",Said of political debates in village assemblies.,waiɾa wai toiŋ makuˈnai,"Waira wai toin makunai, irian wai anapok.","Waira makunai wai toin, paiwe wai irian.",Waira toin wai makunai irian wai.
Anapok wai nankura shiro,Fixed phrase; emphatic repetition,To criticize others unfairly; 'to throw blame carelessly.',He accused people wrongly.,C2,"Debate, social criticism","Critical, ironic",Comes from oral storytelling mocking gossipers.,aˈnapok wai nanˈkuɾa ʃiˈɾo,"Anapok wai nankura shiro, tainma wai paiwe.","Anapok shiro wai nankura, waira wai toin.",Anapok nankura wai shiro maru wai.
