Idiom (Umbrian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Umbrian)",First Example Sentence,Second Example Sentence,Third Example Sentence
Avé 'l fumu a la capoccia,Nominal phrase with metaphorical construction,To be furious or overwhelmed with anger,Esse molto arrabbiato,B1,"Family disputes, workplace tension, daily speech","Colloquial, emphatic",Linked to smoke imagery from traditional Umbrian hearth culture,/aˈve l ˈfumu a la kaˈpɔttʃa/,"Quanno l'ha vistu lu contu, aveva 'l fumu a la capoccia.","Nun je parla' adesso, c'ha ancora 'l fumu a la capoccia.","Dopu la partita persa, tuttu lu paese aveva 'l fumu a la capoccia."
Mette la lengua 'ndó nun tocca,Verb phrase with subordinate locative structure,To interfere in matters that do not concern oneself,Impicciarsi negli affari altrui,B2,"Neighborhood gossip, politics, family","Ironic, colloquial",Reflects oral traditions warning against indiscreet speech,/ˈmɛtte la ˈleŋɡwa nˈdo nun ˈtɔkka/,Lu ziu mette sempre la lengua 'ndó nun tocca.,"Se continui accussì, finirai pe' mette la lengua 'ndó nun tocca.",La gente del borgo campa a mette la lengua 'ndó nun tocca.
Camminà co' l'acqua a le scarpe,Infinitive verbal expression,To live in hardship or economic difficulty,Vivere in povertà,B1,"Economic struggles, rural storytelling","Poetic, colloquial",Evokes muddy Umbrian countryside roads during hard winters,/kammiˈna kɔ lˈakkwa a le ˈskarpe/,"Dopu la siccità, tanti contadini camminaveno co' l'acqua a le scarpe.",Pe' anni ha camminatu co' l'acqua a le scarpe senza lamentasse.,La famiglia loro cammina ancora co' l'acqua a le scarpe.
Esse come 'na luna storta,Comparative adjectival idiom,To be in a bad mood,Esse di cattivo umore,A2,"Daily interactions, humor","Informal, humorous",Connected to folk beliefs about lunar influence on temperament,/ˈɛsse ˈkome na ˈluna ˈstɔrta/,Stammatina Maria è come 'na luna storta.,"Nun te la prende, oggi so' tutti come 'na luna storta.",Lu capu è entratu in ufficiu come 'na luna storta.
Tirà avanti co' li denti,Verbal idiomatic clause,To survive with great effort and resilience,Resistere con difficoltà,B2,"Workplace, economic hardship, motivational speech","Serious, resilient",Common among older Umbrian working-class narratives,/tiˈra aˈvanti kɔ li ˈdɛnti/,"Da quanno ha persu lu travaju, tira avanti co' li denti.",La bottega storica tira avanti co' li denti.,Pure nei tempi peggiori avemo tiratu avanti co' li denti.
Paré 'n gattu 'ncallitu,Comparative nominal idiom,To appear sly and opportunistic,Sembrare molto furbo,C1,"Politics, sarcasm, social commentary","Sarcastic, ironic",Cats symbolize cunning in central Italian folklore,/paˈre ŋ ˈɡattu ŋkalˈlitu/,Lu candidatu pareva 'n gattu 'ncallitu davanti ai giornalisti.,Quillu mercante me pare sempre 'n gattu 'ncallitu.,Tra de loro se guardaveno come gatti 'ncalliti.
Fà la fine de lu sorcio 'ntro lu pozzu,Fixed verbal clause,To end up trapped with no escape,Finire in una situazione senza via d'uscita,C1,"Warnings, dramatic storytelling","Dramatic, literary",Inspired by old rural wells common across Umbrian villages,/fa la ˈfine de lu ˈsɔrtʃo ˈntro lu ˈpɔttsu/,"Se giochi ancora co' li debiti, fai la fine de lu sorcio 'ntro lu pozzu.",Lu brigante fece la fine de lu sorcio 'ntro lu pozzu.,"Senza aiutu, l'impresa farà la fine de lu sorcio 'ntro lu pozzu."
Tené lu core appesu,Verb phrase with metaphorical object,To remain emotionally anxious or suspended,Esse in ansia continua,B2,"Family, romance, waiting for news","Poetic, emotional",Heart imagery deeply rooted in Umbrian oral poetry,/teˈne lu ˈkɔre apˈpezu/,"Da quanno lu figliolu è partitu, tene lu core appesu.","Aspettanno la risposta dell'esame, tenevo lu core appesu.",Tutta la notte semo stati co' lu core appesu.
Magnasse le parole,Reflexive verbal idiom,To retract what one has said,Ritirare le proprie parole,B1,"Arguments, politics, debates","Confrontational, colloquial",Common in heated village discussions and markets,/maɲˈɲasse le paˈrɔle/,"Dopu le prove, s'è dovutu magnasse le parole.","Se sbaji ancora, te toccherà magnatte le parole.",Lu sindacu nun vole magnasse le parole dette in piazza.
Avé più santi che quatrini,Comparative nominal phrase,To rely more on luck or protection than wealth,Avere molta fortuna nonostante pochi soldi,B2,"Humor, religion, family sayings","Humorous, folkloric",Reflects strong Catholic traditions in Umbrian communities,/aˈve pju ˈsanti ke kwaˈtrini/,Quillu ragazzu c'ha più santi che quatrini.,Pe' trovà casa a Perugia ce vonno più santi che quatrini.,Ha scansatu l'incidente perché c'ha più santi che quatrini.
