Idiom (Yoruba),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Yoruba)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ẹ̀dá kì í mọ ibi tí a ti ń gbé e ní sánra,"Fixed clause, passive construction",People rarely know the true source of their own prosperity,One does not often realize what makes them successful,C1,"Proverbial speech, wisdom, reflection, life advice","Literary, formal",Yoruba traditional belief in destiny and ancestral blessings,ɛ̀.dá kì í mɔ̀ ì.bì tí à tí ń ɡbé ɛ ní sã́.rà,"Ẹ̀dá kì í mọ ibi tí a ti ń gbé e ní sánra; ó fi ẹnu rí ẹyẹ, ó mọ òrùlé.","Bí a ṣe ń rí ire, ká rántí pé ẹ̀dá kì í mọ ibi tí a ti ń gbé e ní sánra.","Ọkùnrin náà ń jẹun l'ọ̀pọ̀, ṣùgbọ́n kì í mọ ibi tí a ti ń gbé e ní sánra."
"Ẹyẹ lẹ́yẹ ń gbé, bí a bá fi ọwọ́ pa a, ẹ̀sẹ̀ là fi ń tọ́ ọ","Conditional clause, fixed metaphor","If you mistreat someone trusting you, they may retaliate",Betrayal often leads to revenge,B2,"Conflict resolution, warnings, relationships","Colloquial, advisory",Folklore metaphor from hunting and animals,"ɛ.jɛ̀ lɛ́.jɛ̀ ń ɡbé, bí a bá fì ɔ́.wɔ́ pà a, ɛ̀.ʃɛ̀ là fì ń tɔ́ ɔ","Ẹyẹ lẹ́yẹ ń gbé, ṣùgbọ́n bí a bá fi ọwọ́ pa a, ẹ̀sẹ̀ là fi ń tọ́ ọ.",Ọrẹ rẹ kì í dá lójú mọ́; ẹyẹ lẹ́yẹ ń gbé...,"Rántí pé ẹyẹ lẹ́yẹ ń gbé, kí o má ṣe fi ọwọ́ pa a."
A kì í kọ́ ọmọ lẹ́hìn ogún kó mọ ìrìn àjò,"Negative clause, fixed proverb","Experience is the best teacher, not inheritance","One learns life through experience, not wealth",C2,"Wisdom, parenting, education","Formal, reflective",Traditional Yoruba values on learning through journey,à kì í kɔ́ ɔ́.mɔ̀ lɛ́.hĩ̀ ɔ.ɡṹ kó mɔ̀ ì.rĩ̀ à.d͡ʒɔ,A kì í kọ́ ọmọ lẹ́hìn ogún kó mọ ìrìn àjò; ayé kì í ṣe pípa.,"Láìrìn àjò, a kì í mọ bí ayé ṣe rí – a kì í kọ́ ọmọ lẹ́hìn ogún.",Ọmọ ọlọ́rọ̀ náà ṣì jẹ́ òmùgọ̀; a kì í kọ́ ọmọ lẹ́hìn ogún kó mọ ìrìn àjò.
Ọgbọ́n ẹni kì í tán ní kẹ́tẹ́kẹ́tẹ́,"Fixed clause, metaphorical expression","No matter how clever one is, they still have flaws or limits",Everyone has limitations,B2,"Proverbial speech, humility lessons","Poetic, reflective",Draws from traditional Yoruba tales about donkeys,ɔ.ɡbɔ́ŋ ɛ́.nĩ̀ kì í tã́ ní kɛ́.tɛ́.kɛ́.tɛ́,Ọgbọ́n ẹni kì í tán ní kẹ́tẹ́kẹ́tẹ́; gbogbo wa ní àìlera.,Kí olóye máa mọ̀ pé ọgbọ́n ẹni kì í tán ní kẹ́tẹ́kẹ́tẹ́.,"Àgbàlagbà náà rò pé ó mọ ohun gbogbo, ṣùgbọ́n ọgbọ́n ẹni kì í tán ní kẹ́tẹ́kẹ́tẹ́."
Ojú lásán kì í jẹ́ kí ẹyẹ fò,"Negative clause, metaphorical comparison",Looking alone doesn’t achieve anything; effort is needed,Wishing without effort brings no result,B1,"Motivational speech, daily advice","Colloquial, instructive",Common teaching metaphor in Yoruba culture,ɔ.d͡ʒú là.sã̀ kì í d͡ʒɛ́ kî ɛ.jɛ̀ fò,Ojú lásán kì í jẹ́ kí ẹyẹ fò; ṣe iṣẹ́ rẹ!,Oúnjẹ ò ní wá sílẹ̀ fún ẹni tí kò ṣiṣẹ́ – ojú lásán kì í jẹ́ kí ẹyẹ fò.,"Bó ṣe ń wo iṣẹ́ àwọn mìíràn, ojú lásán kì í jẹ́ kí ẹyẹ fò."
Ẹnu kì í sọnù ká má mọ ibi tí a ti ń lọ,"Conditional clause, metaphorical reflection",One who speaks up won’t lose direction,Speaking helps one find guidance,C1,"Public speaking, wisdom sharing","Formal, advisory",Traditional value on communal discussion,ɛ̀.nú kì í sɔ̀.nù ká má mɔ̀ ì.bì tí a tí ń lɔ́,"Ẹnu kì í sọnù ká má mọ ibi tí a ti ń lọ, béèrè!","Ọmọ náà ní ìbànújẹ, mo sọ fún un pé ẹnu kì í sọnù.",Ẹ̀gbẹ́ wa yá ká sọ pé ẹnu kì í sọnù ká má mọ ibi tí a ti ń lọ.
"Kò mọ ọn ní ìyá, ó pe e ní bàbá","Complex clause, ironic twist",Speaking confidently on what one doesn’t understand,They speak ignorantly with certainty,B2,"Humor, sarcasm, social commentary","Ironic, humorous",Common social jab in Yoruba banter,"kɔ̀ mɔ̀ ɔ̃̀ ní ì.já, ó pɛ́ ɛ ní bà.bá","Kò mọ ọn ní ìyá, ó pe e ní bàbá – ẹ jẹ́ ká kó òye.","Ọkùnrin náà kọ́ ọ̀rọ̀ náà dáadáa, kò mọ ọn ní ìyá, ó pe e ní bàbá.","Ṣé ò rí i pé kò mọ ọn ní ìyá, ó pe e ní bàbá?"
"Bí a bá fi ojú sọ ọ, kì í ṣe pé a fẹ́ kó kú",Conditional clause with emotional clause,Criticism doesn’t mean hatred; it can be out of love,Saying hard truths doesn’t mean animosity,C1,"Family, mentorship, conflict resolution","Formal, empathetic",Yoruba value of constructive criticism,"bí a bá fì ɔ.d͡ʒú sɔ̀ ɔ, kì í ʃɛ́ pé à fɛ́ kó kú","Bí a bá fi ojú sọ ọ, kì í ṣe pé a fẹ́ kó kú; ìfẹ́ ni.","Ẹ̀gbọ́n mi, gbọ́ mi dáadáa – bí a bá fi ojú sọ ọ, kì í ṣe pé a fẹ́ kó kú.","Ọmọ náà bínú, ṣùgbọ́n bí a bá fi ojú sọ ọ, kì í ṣe pé a fẹ́ kó kú."
Ajá tó bá máa ṣọ́ ọ́lé kì í bọ láti ọjọ́ kẹta,"Relative clause, warning proverb",People often show their true intentions early on,Bad traits show early,B1,"Childraising, social insight","Colloquial, warning",Dog as metaphor in Yoruba sayings,à.d͡ʒá tó bá má ʃɔ́ ɔ́.lɛ̀ kì í bɔ̀ lá.tí ɔ.ʤɔ́ kɛ́.tà,Ajá tó bá máa ṣọ́ ọ́lé kì í bọ láti ọjọ́ kẹta – ẹ fura!,"Bí ọmọ náà ṣe ń hù, ó dàbí ajá tó máa ṣọ́ ọ́lé.",Ọjọ́ kẹta ni wọ́n kọ́ wa pé ajá tó bá máa ṣọ́ ọ́lé kì í bọ.
Agbára òrò l’ó ju agbára ọwọ́ lọ,Comparative proverb,Words can be more powerful than physical force,Speech can achieve more than violence,B2,"Politics, diplomacy, leadership","Formal, rhetorical",Emphasizes traditional Yoruba value of oratory,à.ɡbá.rà ɔ.rɔ̀ ló d͡ʒù à.ɡbá.rà ɔ́.wɔ́ lɔ,Agbára òrò l’ó ju agbára ọwọ́ lọ – ẹ̀rọ lágba.,"Kí wọ́n má ṣe fọ́, agbára òrò ju ti ọwọ́ lọ.","Láti bọ ninu ìṣòro, agbára òrò ju agbára ọwọ́ lọ."
