Idiom (Cantonese),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cantonese)",First Example Sentence,Second Example Sentence,Third Example Sentence
畫蛇添足,固定成語結構（動詞片語）,做多餘嘅嘢，反而壞事。,多此一舉,B2,日常對話、工作、批評,書面語、諷刺,出自《戰國策》，講一班人畫蛇比賽，多畫一隻腳反輸。,waːk̚˨˩ sɛː˩˧ tʰiːm˥ tsok̚˨,你老細講完，你再補充就係畫蛇添足啦！,佢個設計本身幾好，加埋啲閃閃燈就畫蛇添足。,呢篇文章其實寫得清楚，唔使再加註解，免得畫蛇添足。
雞犬不寧,固定成語結構（形容詞片語）,形容情況非常混亂，連動物都不得安寧。,局面混亂,C1,新聞、家庭、戲劇,書面語、形象化,出自《後漢書》，形容戰亂令村民無法生活。,kɐi˥ hyːn˩˧ pɐt̚˨ nɪŋ˩˧,樓上裝修搞到雞犬不寧，我日日都瞓唔到覺。,選舉期間啲人吵到雞犬不寧。,一場家庭糾紛搞到成屋雞犬不寧。
借刀殺人,動詞片語,利用他人之手去對付第三者。,利用人達成自己目的,C2,政治、商業、歷史,書面語、策略性,出自《三十六計》，古代兵法中一計。,tsɛː˨ tou˥ sɐt̚˨ jɐn˩˧,佢唔想出面對，就借刀殺人，叫下屬出聲。,成件事睇落係阿強搞，其實係阿偉借刀殺人。,商場上充滿借刀殺人嘅手段，要小心。
睇死人都唔閉眼,動詞短語，包含否定,形容人非常冷酷，毫無感情。,冇人情味,B2,日常對話、批評,口語、貶義,坊間俗語，強烈情緒用語。,tʰɐi˥ sei˩ jɐn˩ tou˥ m̩˨ pɐi˥ ŋaːn˩,你真係睇死人都唔閉眼，咁都講得出。,老細對下屬咁苛刻，睇死人都唔閉眼。,佢做事一向冷血，睇死人都唔閉眼。
掛羊頭賣狗肉,複句成語,表面一套，實際另有目的或品質差。,貨不對辦,C1,商業、批評、政治,書面語、負面批判,古時賣肉欺詐之說。,kwaː˨ jœːŋ˩ tʰɐu˩ maːi˨ kɐu˩ jʊk̚˨,間餐廳裝修好靚，但食物就掛羊頭賣狗肉。,政府宣傳環保，但政策掛羊頭賣狗肉。,佢個人形象正直，其實掛羊頭賣狗肉。
過橋抽板,動詞片語,利用完就唔再幫人，卸責或自保。,過河拆橋,C1,職場、政治、朋友關係,口語、諷刺,古橋建築比喻，常見口語化轉譯。,kwoː˥ kʰiːu˩ t͡sʰɐu˥ paːn˩,升職之後唔認我，真係過橋抽板！,佢做完老細個證人就過橋抽板。,你唔可以過橋抽板，人哋幫過你。
打蛇隨棍上,複合句，含比喻動作,利用時機作進一步行動，通常含貶義。,乘機進逼,C2,政治、職場、談判,書面語、策略性,源自古代兵法與俗語，比喻伺機而動。,taː˥ sɛː˩ tsʰɵy˨ kwɐn˥ sœːŋ˩,阿強打蛇隨棍上，一口氣要求加人工。,公司裁員，佢就打蛇隨棍上，爭上位。,佢一聽到你有困難，就打蛇隨棍上。
睇化晒,動詞短語（完成體）,形容人對事睇得通，唔再執着。,釋懷，放下,B1,家庭、健康、人生哲理,口語、勵志,常見於長者或佛學用語。,tʰɐi˥ faː˨ saːi˥,經歷咁多，我已經睇化晒。,佢講到睇化晒，但心入面其實未放得低。,人生苦短，學識睇化晒會開心啲。
唔知死,否定動詞結構,形容人膽大妄為，唔知危險。,太過份，唔自量力,B2,日常對話、憤怒、批評,粗俗、口語、貶義,常見粗俗用語，具有強烈情緒色彩。,m̩˨ tsiː˥ sei˩,你竟然鬧老師，真係唔知死。,細路哥偷駕車，完全唔知死！,佢咁樣挑釁黑社會，係唔知死定點？
神憎鬼厭,形容詞短語，對象為人,形容非常討人厭。,令人討厭,C1,批評、文學、網絡語言,文學性、貶義,傳統宗教與民間信仰對壞人之形容。,sɐn˩ tsɐŋ˥ kwɐi˩ jim˥,佢成日出風頭，真係神憎鬼厭。,講嘢咁串，點唔神憎鬼厭？,同事個態度神憎鬼厭，連上司都唔鐘意。
