Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning (Mandarin Chinese),Non-Idiomatic Equivalent (Mandarin Chinese),CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Mandarin Chinese)",First Example Sentence,Second Example Sentence,Third Example Sentence
画蛇添足,Fixed verb-object idiom; metaphorical expression,做了多余的事，不但无益，反而有害。,做事多此一举,B1,"daily speech, education, workplace",Neutral; ironic,"Derived from a Warring States anecdote; someone drew a snake and added feet, ruining it.",xu̯â ʂɤ̌ tʰjɛ́n ʦǔ,你这个修改简直是画蛇添足，反而破坏了整体结构。,他已经说得很清楚了，你再补充只会画蛇添足。,设计图本来很好，加那些花哨的装饰只是画蛇添足。
对牛弹琴,"Fixed verb-object idiom; humorous, metaphorical clause",对不懂道理的人讲道理，白费力气。,说了也听不懂,B2,"humor, sarcasm, education",Informal; humorous or sarcastic,From Han dynasty tale of Gong Mingyi; metaphor for futility,twêi ɲjǒu tʰǎn tɕʰǐn,我劝了他半天，简直是对牛弹琴。,你跟他讲这个理论太深奥了，简直是对牛弹琴。,对那些根本不想听的人解释，只是对牛弹琴。
一箭双雕,Fixed clause; numerical idiom with parallel object structure,做一件事而达到两个目的。,一举两得,B2,"workplace, strategy, literature",Neutral to formal; strategic,Originates from hunting story in the Northern and Southern Dynasties,î tɕjɛ̂n ʂwáŋ tjáu,这样安排既能省钱又能提效率，真是一箭双雕。,这次合作让我们一箭双雕，太值了。,旅游中顺便拜访客户，一箭双雕的好主意！
塞翁失马,Classical sentence; compound structure with embedded narrative logic,坏事也可能带来好结果。,祸福相依,C1,"philosophy, life reflection, education",Formal; philosophical,"From ‘Huainanzi’ — an old man loses a horse, but it leads to good fortune",sâi ʊ́ŋ ʂʐ̩̄ mà,他这次失业反而激发了创业精神，真是塞翁失马。,经历看似不幸，其实也许是塞翁失马的开始。,别太在意失败，可能只是塞翁失马罢了。
狐假虎威,Verb-object idiom; metaphorical clause indicating indirect authority,借助别人的权势吓唬人。,仗势欺人,B1,"politics, workplace, satire",Negative; critical,From Zhan Guo Ce; a fox borrowed the tiger's prestige to scare others,xǔ tɕjà xù wéi,他仗着领导撑腰，到处狐假虎威。,小李狐假虎威，让同事都不敢反驳。,这种狐假虎威的做法早晚会被识破。
望梅止渴,Verb-object idiom; classic metaphor,用想象安慰自己。,靠幻想缓解困难,B2,"humor, literature, life struggle",Poetic; humorous,From tale of Cao Cao’s troops; imagining plums relieved thirst,wâŋ méi ʈʂɻ̩̌ kʰɤ̌,工资没发，他就望梅止渴地想着年底奖金。,光看菜单不吃饭，简直是望梅止渴。,这点安慰只是望梅止渴，难解现实问题。
指鹿为马,Verb-object construction with inversion; false statement idiom,颠倒黑白，混淆是非。,说谎骗人,C1,"politics, criticism, satire",Formal; accusatory,From Zhao Gao’s manipulation in Qin Dynasty; called a deer a horse to test loyalty,ʈʂɻ̩̌ lû wéi mà,他公然在会上指鹿为马，令人愤怒。,媒体不能成了指鹿为马的工具。,这完全是指鹿为马，颠倒是非！
井底之蛙,Noun phrase idiom; metaphorical identity structure,见识狭窄的人。,目光短浅的人,B1,"education, sarcasm, self-reflection",Informal to neutral; critical,From Zhuangzi; frog living at bottom of well mocks others’ worldviews,tɕìŋ tǐ ʈʂɻ̩́ wā,他没出过国，说话就像井底之蛙。,别做井底之蛙，多看看世界。,自以为是的人常常是井底之蛙。
草木皆兵,Metaphorical clause; fixed idiom implying psychological state,非常紧张，疑神疑鬼。,惊弓之鸟,C2,"warfare, mental stress, literature",Poetic; dramatic,Originates from Jin dynasty battle; enemy imagined trees as soldiers,tsʰàu mû tɕjɛ́ píŋ,他最近压力太大，看到短信都草木皆兵。,草木皆兵的状态不利于决策。,听到风声就害怕，真是草木皆兵了。
睁一只眼闭一只眼,Parallel clause with repeated verb-object structure,故意不管，不认真对待。,装作没看见,B1,"family, workplace, moral compromise",Neutral; tolerant or critical depending on tone,Modern colloquialism; describing intentional inaction or tolerance,ʈʂə́ŋ î ʈʂɻ̩́ jɛ̀n pî î ʈʂɻ̩́ jɛ̀n,经理对他迟到总是睁一只眼闭一只眼。,有些事你睁一只眼闭一只眼就过去了。,他家教太松，对孩子总是睁一只眼闭一只眼。
