Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, isiZulu)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ukudla amanzi ngamakhala,Fixed clause; verb-object structure,To be in a very difficult or hopeless situation,To be in serious trouble,B2,"Daily speech, sarcasm, humor","Colloquial, ironic",Reflects the impossibility of surviving by taking in water through the nose – common imagery in Zulu oral tradition,ukúɮà àmànzì ŋàmàkʰálà,Ngicabanga ukuthi sesikudla amanzi ngamakhala ngalolu daba.,Abafana labo bazodla amanzi ngamakhala uma bengalungisanga izinto.,"Ngesikhathi engaphenduli emsebenzini, wayesedla amanzi ngamakhala."
Izinkomo azihlatshwa emhlane,Proverbial passive construction,Serious matters aren't resolved with soft or overly kind approaches,One must take decisive action in serious situations,C1,"Literature, family, traditional councils","Formal, proverbial","Relates to traditional practices of cattle slaughter, rooted in rural wisdom",ízìŋkʰɔ́mɔ́ àzìɬátʃʷà èmɬánɛ,"Abadala bathi izinkomo azihlatshwa emhlane, ngakho asime sibhekane nale nkinga.",Izinkomo azihlatshwa emhlane — kuzomele sibe namandla kulesi simo.,Wayeqonda kahle ukuthi izinkomo azihlatshwa emhlane uma sekukhulunywa ngezinkinga zomndeni.
Inja ikhala emuva,Fixed clause; subject-verb-adverbial structure,To regret after something bad has already happened,To cry over spilled milk,B1,"Daily speech, family, reflection","Colloquial, poetic","Based on animal behavior, commonly used to teach lessons in hindsight",íɲà íkʰàɬà émùːʋà,Ungaziphatha kahle manje ngoba inja ikhala emuva.,Wazisola emva kokulahlekelwa ngumsebenzi — inja ikhala emuva.,"Inkinga isikhona manje, inja ikhala emuva akukho okusizayo."
Ukuphatha izintambo,Infinitive verb + object noun phrase,To be in control or manage a situation,To be in charge,A2,"Workplace, politics, leadership","Formal, workplace","Refers to puppeteering or directing livestock, symbolizing control",ùkùpʰátʰà ízíntʰámbɔ,UThandi uyakwazi ukuphatha izintambo kuleli qembu.,Ubaba wethu uyakwazi ukuphatha izintambo ekhaya.,"Uma ungaphatha izintambo kahle, izinto zizohamba kahle."
Ukuhamba nentuthu,Infinitive verb + prepositional phrase,To disappear quickly or vanish without a trace,To vanish into thin air,B2,"Daily speech, storytelling, crime reports","Colloquial, dramatic","Smoke as a symbol of things fading away, found in oral storytelling",ùkùhámbà ǹéntʰútʰù,Uhambe nentuthu ngesikhathi kudingeka usizo.,"Izinto zakhe zahamba nentuthu, akekho owaziyo ukuthi ziphi.",Imali yethu yahamba nentuthu — akukho okusele.
Ukuzakhela izindlunkulu emoyeni,Reflexive verb + noun phrase + locative,To daydream or have unrealistic ambitions,To build castles in the air,C1,"Literature, sarcasm, education","Poetic, ironic",Used in teachings and tales to warn against fantasy,ùkùzákʰɛɬà ízíndlùŋkùɬù émòjènì,Ungazenzi izinto ezingekho — uzakhela izindlunkulu emoyeni.,Abantu abaningi baphila ngokuzakhela izindlunkulu emoyeni.,Ukuphila kwakhe kwaba ngokuzakhela izindlunkulu emoyeni kuphela.
Izinkomo azilwi ngezinkophe,Negative clause; plural subject + instrument,Serious conflicts aren't solved with minor actions,Big problems need big solutions,C2,"Politics, traditional wisdom, debate","Formal, proverbial",Rooted in livestock-based rural philosophies,ízìŋkʰɔ́mɔ́ àzílʷí ŋézìŋkʰɔ́pʰɛ,Abadala bathi izinkomo azilwi ngezinkophe – sizoshintsha isu.,"Izimo ezifana nalezi zifuna isibindi, izinkomo azilwi ngezinkophe.",Ungacabangi ukuthi uzoyinqoba le mpi ngentobeko – izinkomo azilwi ngezinkophe.
Ukugeza izandla ngobisi,Infinitive verb + object + instrument,To waste valuable resources,To squander something precious,B2,"Family, finance, moral teachings","Colloquial, moralistic","Milk seen as precious, especially in rural and traditional homes",ùkùɡézà ízándɬà ŋɔ́bísì,Ungaze ugeze izandla ngobisi ngezinto ezingenamsebenzi.,Ukugeza izandla ngobisi bekungathi akukhathali ngempilo.,Bathi ugeze izandla ngobisi ngemali yefa.
Ulimi luyisilwa,Subject-verb-object structure; metaphorical nominal clause,Words can be dangerous or hurtful,The tongue is a weapon,B1,"Family, teaching, counseling","Literary, didactic",Reflects oratory values in Zulu culture,úlímì lújísílʷà,"Ulimi luyisilwa, ungakhulumi izinto ezingalimaza abanye.",Izinkulumo zakhe zikhombisa ukuthi ulimi luyisilwa.,Ngiyesaba abantu abakhuluma kabi – ulimi luyisilwa.
Isisu siyakhuluma,Subject-verb structure; metaphorical animate noun,Hunger influences behavior or decisions,Hunger speaks louder than reason,A2,"Daily life, humor, economics","Colloquial, humorous",Emphasizes physiological needs in traditional sayings,ísísù síjàkʰúlúmà,Ngifuna ukudla manje ngoba isisu siyakhuluma.,Abantu babhekene nobunzima – isisu siyakhuluma.,Akekho ofuna ukulalela izinkulumo uma isisu siyakhuluma.
