Idiom (Zaza),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Zaza)",First Example Sentence,Second Example Sentence,Third Example Sentence
Şêr ra goli nayê,Fixed clause with passive voice,A brave person cannot be fooled easily,Strong people do not fall into traps,C1,"Proverbs, advice, rural conversations","Poetic, colloquial",Common among shepherding communities in Dersim,/ʃɛr ra ɡoˈli naˈjɛ/,"Ez gotê wî: ‘Şêr ra goli nayê, tu ra şıma zanê.’",Ma tu wan rê gotê? Şêr ra goli nayê!,"Bı ser şêr ra goli nayê, vıra qefşê kena."
Çi xezalê ra dımê xezalê,Comparative clause,Every person is attracted to their kind,Like attracts like,B2,"Family, relationships, folk speech","Humorous, colloquial",Old marriage wisdom among elders,/tʃi xeˈzɑlɛ ra dɯˈme xeˈzɑlɛ/,"Hevalê wî ma dıwana, çi xezalê ra dımê xezalê.",Ma vıra na zanê? Çi xezalê ra dımê xezalê.,"Wextê wan zewiciyê, ez got: ‘Çi xezalê ra dımê xezalê’."
Serê xo ra dev nêro,Reflexive clause,Someone who avoids embarrassment or doesn't speak foolishly,He/she is wise enough to stay silent,B1,"Elders, debate, teaching","Formal, respectful",Dersim traditional ethics,/sɛˈre xo ra dɛv neˈɾo/,Ew serê xo ra dev nêro wextê meheti de.,Tu ra gotê ma? Serê xo ra dev nêro.,Ez hewce şexsê serê xo ra dev nêro bım.
Şemê ma ra wêne xo nîşanê day,"Fixed idiomatic expression, past tense",He/She exposed their real nature,They showed their true colors,C1,"Politics, gossip, conflict","Ironic, narrative",Folkloric stories about betrayal,/ʃɛˈme ma ra weːˈne xo niːʃɑnɛ dɑj/,Şemê ma ra wêne xo nîşanê day dı hefteya rê.,Ez zanê ew çı ke. Şemê ma ra wêne xo nîşanê day.,"Vextê vebıra, şemê ma ra wêne xo nîşanê day."
"Destê ra ke, serê xo ra bıvê",Imperative clause,Think before you act,Use your head before taking action,B2,"Advice, parenting, education","Colloquial, instructive",Dersim parenting idiom,"/dɛstɛ ra ke, sɛˈre xo ra bɯˈve/","Destê ra ke, serê xo ra bıvê ma ez got.","Ma tu waştê? Destê ra ke, serê xo ra bıvê!","Ew dı şıma bıme, destê ra ke, serê xo ra bıvê."
Dılê qırêjê xo nezanê,Negated clause with object pronoun,Someone oblivious or unaware,He/she is unaware of even their own situation,C1,"Sarcasm, criticism, politics","Sarcastic, critical",Political satire idiom,/dɯˈle qɯˈɾɛʒɛ xo nɛˈzɑne/,"Ez got: ‘Dılê qırêjê xo nezanê, ey!’",Ma wan rê gotê? Dılê qırêjê xo nezanê!,"Ew xususi dıne, dılê qırêjê xo nezanê."
Gulê rê nêxoşa bê ziman,Fixed clause with negation,Beauty without kindness is useless,A flower is worthless without fragrance,B1,"Literature, romance, moral lessons","Poetic, moralistic",Zaza romantic poetry,/ɡuˈle re neˈxoʃa be ziˈmɑn/,Ma tu gulê rê nêxoşa bê ziman.,Ez bımê çı go: gulê rê nêxoşa bê ziman.,"Gulê rê nêxoşa bê ziman, ra re got."
"Dewrê bıxat, serê xo bıxelas",Imperative structure,Solve the world’s issues by fixing yourself first,Fix yourself before judging others,C2,"Ethics, spiritual, philosophical","Philosophical, reflective",Zaza mystic wisdom,"/dɛˈwɾɛ bɯˈxɑt, sɛˈre xo bɯxeˈlɑs/","Ez gotê wî: dewrê bıxat, serê xo bıxelas.","Vıra na zanê, dewrê bıxat, serê xo bıxelas.","Dewrê bıxat, serê xo bıxelas, ez got."
Çımên kevirê ra dıl na vîne,Negated clause,Stone-hearted people do not feel love,Insensitive people don't understand feelings,B2,"Love, disappointment, heartbreak","Poetic, emotional",Folk songs about heartbreak,/tʃɯˈmɛn keˈviɾɛ ra dɯl na ˈviːnɛ/,"Çımên kevirê ra dıl na vîne, ez got.","Ew vıra bımê, çımên kevirê ra dıl na vîne.","Dılê wî yew kevirê, çımên kevirê ra dıl na vîne."
Rızgê xo kerê u xêrê,Possessive noun with coordination,One must earn and appreciate their own blessings,Take care of your own fortune and good,A2,"Daily advice, economy, gratitude","Colloquial, wise",Rural work ethic idiom,/ɾɯzˈɡe xo keˈɾe u xeˈɾe/,Ez ra got: Rızgê xo kerê u xêrê.,Tu rızgê xo kerê u xêrê na zanê?,"Rızgê xo kerê u xêrê, tu bıkê rewa."
