Idiom (Cherokee),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cherokee)",First Example Sentence,Second Example Sentence,Third Example Sentence
ᎩᎦ ᎤᎵᎮᎵᏍᏗ,noun phrase + nominalization,A person who is all talk and no action,Someone who says much but does little,B2,"daily speech, sarcasm","colloquial, ironic",Commonly used in Cherokee humor to mock boastful people,[kiːɡa ʔuliːhelisdɪ],ᎠᏂᏴᏫᏯᏛ ᎩᎦ ᎤᎵᎮᎵᏍᏗ ᎤᏂᏙᏗ.,ᏥᏍᏆᎩ ᎤᏃᏴᏫᏒ ᎩᎦ ᎤᎵᎮᎵᏍᏗ.,ᎤᎾᏙᏢᏒ ᎩᎦ ᎤᎵᎮᎵᏍᏗ ᏱᎩᏙᏗᎠ.
ᏩᏙ ᎤᎵᏍᏆᎸ,adverbial expression,Everything is fine or going well,Everything is okay,A2,"daily conversation, reassurance","colloquial, neutral",Frequently heard in informal family gatherings,[waːto ʔuliːskwalə],ᏏᏆᏂᎪ ᏩᏙ ᎤᎵᏍᏆᎸ.,ᎯᎠ ᎤᎾᏙᏢᏒ ᏩᏙ ᎤᎵᏍᏆᎸ.,ᏚᏙᏢᏒ ᎤᏓᎾᏍᏗ ᏩᏙ ᎤᎵᏍᏆᎸ.
ᏣᏁᎳ ᏓᎾᏟᏙᏗ,noun + verb phrase,A lesson hard learned,Something difficult that taught an important lesson,C1,"education, life lessons, moral tales","literary, moralistic",Used in storytelling to reflect on moral growth,[tsanela danatlidotɪ],ᏥᏍᏆᎩ ᏣᏁᎳ ᏓᎾᏟᏙᏗ ᏱᎨᏒᎢ.,ᎤᏲᎢ ᏣᏁᎳ ᏓᎾᏟᏙᏗ ᎤᏍᏗᎦ.,ᏥᏍᏚᎢ ᏣᏁᎳ ᏓᎾᏟᏙᏗ.
ᏕᎦᏓᏍᏗ ᎤᏓᏅᏙᎢ,verb + adverb,Going somewhere with no clear purpose,Wandering aimlessly,B1,"family, complaints, gossip","colloquial, humorous",Used often in small-town complaints,[deɡadasdi ʔudanvdɔi],ᎠᎩᎦ ᏕᎦᏓᏍᏗ ᎤᏓᏅᏙᎢ ᏱᎩᏙᏗ.,ᏥᏍᏆᎩ ᏕᎦᏓᏍᏗ ᎤᏓᏅᏙᎢ.,ᏂᎦᏓᎴᏂᎯ ᏕᎦᏓᏍᏗ ᎤᏓᏅᏙᎢ.
ᎯᎠ ᏓᎧᎵᎢᏍᏗ,emphatic subject + imperative,Take responsibility!,You better own up to that,B2,"arguments, parenting","colloquial, confrontational",Used by elders when calling out misbehavior,[hiːʔa dakaliːsdi],ᎯᎠ ᏓᎧᎵᎢᏍᏗ ᎠᎩᎦ!,ᏥᏍᏆᎩ ᎯᎠ ᏓᎧᎵᎢᏍᏗ ᏱᎨᏒᎢ.,ᎠᏂᏴᏫᏯᏛ ᎯᎠ ᏓᎧᎵᎢᏍᏗ.
ᎠᎩᎦ ᎤᏓᏅᏙᎢ ᎤᎾᏙᏢᏒ,subject + verb + adverbial clause,Someone who never stops talking or always has something to say,A talkative or chatty person,B1,"humor, daily conversation","colloquial, humorous",Reflects Cherokee value on balance between speech and listening,[aːkiɡa ʔudanvdɔi ʔunanotləsəv],"ᎠᎩᎦ ᎤᏓᏅᏙᎢ ᎤᎾᏙᏢᏒ, ᎤᏲᎢ ᏧᏂᏙᏗ.",ᏥᏍᏆᎩ ᎤᏓᏅᏙᎢ ᎤᎾᏙᏢᏒ ᎤᏍᎪᎸ.,ᎤᎾᏙᏢᏒ ᏚᎾᏓᏡᎬᎢ ᎤᏓᏅᏙᎢ.
ᎤᏃᏴᏫᏒ ᎠᏂᏴᏫᏯᏛ,noun phrase (abstract + collective noun),Community strength or shared resolve,People working together for a common goal,C1,"politics, community, leadership","formal, inspirational",Core concept in Cherokee governance and social life,[ʔunohjwəvisəv ʔanihjwəwijadv],ᎤᏃᏴᏫᏒ ᎠᏂᏴᏫᏯᏛ ᏧᏂᎪᏢᏒ ᎠᎾᏟᏙᏗ.,ᏥᏍᏆᎩ ᎤᏃᏴᏫᏒ ᎠᏂᏴᏫᏯᏛ ᏱᎨᏒᎢ.,ᎤᏃᏴᏫᏒ ᎠᏂᏴᏫᏯᏛ ᎤᏓᎾᏍᏗ.
ᎤᎦᏅᎢ ᏗᏣᎳᎩᎸᎢ,noun + participial clause,The Cherokee way or worldview,Cherokee culture or traditional lifestyle,C2,"cultural education, formal speech, identity","literary, reverent",Symbolic of the Cherokee philosophy of balance and harmony,[ʔugaːnvi ditʃalaːɡilvʔi],ᎤᎦᏅᎢ ᏗᏣᎳᎩᎸᎢ ᏧᏂᏲᎸᏔᏅ.,ᎠᎩᎦ ᎤᎦᏅᎢ ᏗᏣᎳᎩᎸᎢ ᏚᎾᏓᏡᎬᎢ.,ᎤᏃᏴᏫᏒ ᎤᎦᏅᎢ ᏗᏣᎳᎩᎸᎢ ᏱᎨᏒᎢ.
ᏚᎾᏓᏡᎬᎢ ᎤᏍᏆᎩ,verb phrase + noun complement,To hold one’s ground or stand firm,To remain steadfast in belief or decision,B2,"debate, politics, teaching","formal, resolute",Reflects Cherokee leadership and respect for integrity,[tunadʃulɡvi ʔuskwaki],ᏚᎾᏓᏡᎬᎢ ᎤᏍᏆᎩ ᎤᏃᏴᏫᏒ.,ᏥᏍᏆᎩ ᏚᎾᏓᏡᎬᎢ ᎤᏍᏆᎩ ᎤᏍᎪᎸ.,ᎤᏲᎢ ᏚᎾᏓᏡᎬᎢ ᎤᏍᏆᎩ.
ᎠᎩᎦ ᎠᏓᏛᏁᏗ,subject + verb (perfective aspect),To have learned one’s lesson or experienced consequence,To understand after making a mistake,B1,"education, humor, correction","colloquial, ironic",Used humorously in Cherokee homes and schools,[aːkiɡa ʔadatvnedɪ],ᎠᎩᎦ ᎠᏓᏛᏁᏗ ᏱᎩᏙᏗ.,ᏥᏍᏆᎩ ᎠᏓᏛᏁᏗ ᎤᏍᎪᎸ.,ᎤᏲᎢ ᎠᎩᎦ ᎠᏓᏛᏁᏗ.
